feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
2986,shared,37,36,1,8032,762,3.4153386454183265,1.7720286349848624,0.37004759409297505,0.972972972972973,0.02702702702702703,1.3486175434808079e-64
2987,dna-private,89,82,7,7986,756,1.1089406461307287,0.14918215014850422,1.0,0.9213483146067416,0.07865168539325842,1.499676973186056e-14
2988,shared,45,44,1,8024,762,4.178464606181455,2.0629729155184386,0.17885039981340076,0.9777777777777777,0.022222222222222223,6.137591276259506e-74
2989,dna-private,111,107,4,7961,759,2.550339153372692,1.3506891146736761,0.06003937723466342,0.963963963963964,0.036036036036036036,6.137591276259506e-74
2990,prot-private,32,27,5,8041,758,0.5090411640343241,-0.9741457691425367,0.1928866945001127,0.84375,0.15625,6.137591276259506e-74
2991,dead,30,29,1,8039,762,2.7488493593730565,1.4588278473964156,0.5123772522077924,0.9666666666666667,0.03333333333333333,1.3486175434808079e-64
2993,prot-private,37,31,6,8037,757,0.48664509974700343,-1.0390580669120846,0.13025347875770235,0.8378378378378378,0.16216216216216217,6.137591276259506e-74
2994,dna-private,25,20,5,8048,758,0.37673956262425445,-1.4083605516344355,0.05921837402854664,0.8,0.2,6.137591276259506e-74
2995,prot-private,358,343,15,7725,748,2.2141445523193095,1.146749412772831,0.0014118408101224489,0.9581005586592178,0.04189944134078212,6.137591276259506e-74
2996,prot-private,66,28,38,8040,725,0.06644409531290914,-3.9117151925499756,5.362788283037449e-24,0.42424242424242425,0.5757575757575758,6.137591276259506e-74
2997,prot-private,19,16,3,8052,760,0.5033946017552575,-0.990238349311548,0.22277766157339868,0.8421052631578947,0.15789473684210525,6.137591276259506e-74
2998,dna-private,81,79,2,7989,761,3.7626110902490923,1.9117341777488779,0.04526086634254589,0.9753086419753086,0.024691358024691357,6.137591276259506e-74
2999,dna-private,59,54,5,8014,758,1.0215123533815822,0.030706651016399893,1.0,0.9152542372881356,0.0847457627118644,1.499676973186056e-14
3000,dna-private,237,222,15,7846,748,1.4109609992352792,0.4966781105521286,0.24028663756407165,0.9367088607594937,0.06329113924050633,6.137591276259506e-74
3001,dna-private,67,63,4,8005,759,1.4933479075577765,0.5785503115117636,0.6597119977813615,0.9402985074626866,0.05970149253731343,6.388400221161359e-26
3002,dead,15,13,2,8055,761,0.614090626939789,-0.7034765119492934,0.37647785138890716,0.8666666666666667,0.13333333333333333,1.3486175434808079e-64
3003,dna-private,20,18,2,8050,761,0.850807453416149,-0.2330954229434839,0.689509959490357,0.9,0.1,6.388400221161359e-26
