feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
35,dna-private,30,26,4,8042,759,0.6134667993036558,-0.7049428272438021,0.3239706779083888,0.8666666666666667,0.13333333333333333,0.6381496417372119
36,prot-private,15,15,0,8053,763,2.9389085490780404,1.5552804669020328,0.6340216938892271,1.0,0.0,0.8912614365568161
37,dna-private,41,36,5,8032,758,0.6794820717131475,-0.5574926092247302,0.39759452388256966,0.8780487804878049,0.12195121951219512,0.714649215537857
38,dna-private,26,24,2,8044,761,1.1352560914967678,0.1830177779193497,1.0,0.9230769230769231,0.07692307692307693,1.0
39,prot-private,17,16,1,8052,762,1.5141579731743666,0.5985157305719824,1.0,0.9411764705882353,0.058823529411764705,1.0
41,dna-private,35,24,11,8044,752,0.20396907915555354,-2.2935776325438555,0.00011235268131752097,0.6857142857142857,0.3142857142857143,0.001516761197786533
42,prot-private,36,34,2,8034,761,1.6102813044560618,0.6873127387084181,0.7660921570241743,0.9444444444444444,0.05555555555555555,0.9627088941327722
43,dna-private,43,29,14,8039,749,0.19299664137330513,-2.37335235369576,8.359668764011895e-06,0.6744186046511628,0.32558139534883723,0.00014923882233249238
44,prot-private,29,29,0,8039,763,5.603146961875739,2.486237332723165,0.17242845368326137,1.0,0.0,0.44009423019765564
45,dna-private,50,46,4,8022,759,1.0880703066566941,0.12177178065797026,1.0,0.92,0.08,1.0
47,dna-private,55,52,3,8016,760,1.6433799068529606,0.7166660325556753,0.6268287249000257,0.9454545454545454,0.05454545454545454,0.8877529337287737
48,dna-private,38,31,7,8037,756,0.4165733482642777,-1.2633575540131914,0.0416105135163432,0.8157894736842105,0.18421052631578946,0.1696739386103315
49,dna-private,45,38,7,8030,756,0.5110834371108344,-0.9683692567976228,0.10628230294690233,0.8444444444444444,0.15555555555555556,0.3164548857322689
50,dna-private,50,48,2,8020,761,2.2773067331670824,1.1873286228824191,0.3179051122649078,0.96,0.04,0.6325493218904421
51,dna-private,14,11,3,8057,760,0.34586901659012864,-1.5317023139427457,0.1142871290727978,0.7857142857142857,0.21428571428571427,0.3309938352826966
52,dna-private,77,66,11,8002,752,0.5638590352411897,-0.8265935609468082,0.09802378585882451,0.8571428571428571,0.14285714285714285,0.3014889426740087
53,prot-private,52,50,2,8018,761,2.3727862309802945,1.2465821311274996,0.3195524912756258,0.9615384615384616,0.038461538461538464,0.6337399879443156
54,prot-private,21,17,4,8051,759,0.4006645137250031,-1.3195333568682468,0.10183922039866987,0.8095238095238095,0.19047619047619047,0.30697946818737804
55,dna-private,51,46,5,8022,758,0.8693093991523311,-0.20205835147376677,0.8002634787141999,0.9019607843137255,0.09803921568627451,0.9830991061227415
57,dna-private,30,27,3,8041,760,0.8506404676035318,-0.2333786048164745,0.741081562259439,0.9,0.1,0.9438302915568327
58,dna-private,30,26,4,8042,759,0.6134667993036558,-0.7049428272438021,0.3239706779083888,0.8666666666666667,0.13333333333333333,0.6381496417372119
59,dna-private,54,46,8,8022,755,0.5411680378957866,-0.8858514605450548,0.13660272178412627,0.8518518518518519,0.14814814814814814,0.37580661451528186
60,dna-private,174,165,9,7903,754,1.7491248049263992,0.8066332332415627,0.13156033951334317,0.9482758620689655,0.05172413793103448,0.36608507770581933
61,prot-private,11,10,1,8058,762,0.9456440804169769,-0.08063080776791416,1.0,0.9090909090909091,0.09090909090909091,1.0
62,dna-private,82,61,21,8007,742,0.2691811331751384,-1.8933507994581933,4.0421654274015e-06,0.7439024390243902,0.25609756097560976,8.084330854802999e-05
63,dna-private,24,21,3,8047,760,0.6611159438299987,-0.5970247869668049,0.45796208248726505,0.875,0.125,0.771541675614701
64,dna-private,52,37,15,8031,748,0.2297430789025858,-2.121906694453866,2.0851554630046128e-05,0.7115384615384616,0.28846153846153844,0.00033827843992092
65,dna-private,41,37,4,8031,759,0.8742062009712365,-0.19395448331751783,0.7777676696173981,0.9024390243902439,0.0975609756097561,0.9693246921047691
66,dna-private,47,43,4,8025,759,1.016728971962617,0.02393515322053655,1.0,0.9148936170212766,0.0851063829787234,1.0
67,dna-private,13,11,2,8057,761,0.5194861611021472,-0.9448427780489919,0.31132490475252955,0.8461538461538461,0.15384615384615385,0.6226498095050591
68,dna-private,20,18,2,8050,761,0.850807453416149,-0.2330954229434839,0.689509959490357,0.9,0.1,0.9164372879302213
69,prot-private,21,20,1,8048,762,1.893638170974155,0.9211606925751572,1.0,0.9523809523809523,0.047619047619047616,1.0
70,prot-private,67,64,3,8004,760,2.025653839746793,1.0183876557040503,0.27895832645209456,0.9552238805970149,0.04477611940298507,0.577637734577502
71,dna-private,54,49,5,8019,758,0.9263499189425115,-0.11037083556529682,0.8072869656177273,0.9074074074074074,0.09259259259259259,0.987235435145587
72,dna-private,161,154,7,7914,756,2.1015921152388173,1.071482692885669,0.04747176240900465,0.9565217391304348,0.043478260869565216,0.18347981789983392
73,prot-private,10,10,0,8058,763,1.9896382701495317,0.9925061627800148,1.0,1.0,0.0,1.0
75,dna-private,75,72,3,7996,760,2.2811405702851424,1.1897553523074762,0.21177355882808813,0.96,0.04,0.49903027017397994
76,dna-private,32,29,3,8039,760,0.9138781772193888,-0.12992623248711502,0.7536237834637938,0.90625,0.09375,0.9524232368750051
77,dna-private,260,234,26,7834,737,0.8466938983916262,-0.24008760241336438,0.4319600100760273,0.9,0.1,0.7488214573864685
78,dna-private,14,13,1,8055,762,1.2297951582867783,0.29841803204048295,1.0,0.9285714285714286,0.07142857142857142,1.0
79,dna-private,86,79,7,7989,756,1.0679684566278633,0.0948690364088011,1.0,0.9186046511627907,0.08139534883720931,1.0
80,dna-private,19,16,3,8052,760,0.5033946017552575,-0.990238349311548,0.22277766157339868,0.8421052631578947,0.15789473684210525,0.5159923779089749
81,dna-private,70,66,4,8002,759,1.5650462384403898,0.6462052814283178,0.5213085110320503,0.9428571428571428,0.05714285714285714,0.8346235373575394
82,dna-private,79,76,3,7992,760,2.4090757424090756,1.2684797532609589,0.15704646790986793,0.9620253164556962,0.0379746835443038,0.4157112385849445
83,dna-private,73,57,16,8011,747,0.33219167394832105,-1.5899121808405348,0.00039900932021114566,0.7808219178082192,0.2191780821917808,0.00443604479528862
85,dna-private,209,199,10,7869,753,1.9042699199390012,0.9292379873420743,0.04538635913440443,0.9521531100478469,0.04784688995215311,0.17796725884652362
86,dna-private,119,98,21,7970,742,0.4344625679631953,-1.202696210920583,0.001437982568296859,0.8235294117647058,0.17647058823529413,0.013161196387801761
87,prot-private,28,25,3,8043,760,0.787434207799743,-0.344768707319201,0.7304102003319707,0.8928571428571429,0.10714285714285714,0.935915443137237
88,dna-private,48,42,6,8026,757,0.6602292549215051,-0.5989610287366596,0.3032400519170813,0.875,0.125,0.6159308953501168
89,dna-private,36,36,0,8032,763,6.93874883286648,2.7946755453180945,0.07033340726884621,1.0,0.0,0.24191108232596784
90,dna-private,45,40,5,8028,758,0.7553562531141006,-0.4047708631915255,0.5891647220141945,0.8888888888888888,0.1111111111111111,0.8877285057891666
91,dna-private,27,18,9,8050,754,0.18732919254658384,-2.4163523546206775,0.0002880314748618313,0.6666666666666666,0.3333333333333333,0.003434570898983351
92,dna-private,198,189,9,7879,754,2.0096458941490036,1.006941316448635,0.03953172404971886,0.9545454545454546,0.045454545454545456,0.16384859310080843
93,dna-private,77,70,7,7998,756,0.9452363090772693,-0.08125304670169435,0.8380868188772468,0.9090909090909091,0.09090909090909091,1.0
94,dna-private,79,72,7,7996,756,0.9724862431215607,-0.04025025313884677,0.841589139302046,0.9113924050632911,0.08860759493670886,1.0
95,prot-private,10,10,0,8058,763,1.9896382701495317,0.9925061627800148,1.0,1.0,0.0,1.0
96,dna-private,36,28,8,8040,755,0.32866915422885573,-1.6052920297962456,0.01024865593509701,0.7777777777777778,0.2222222222222222,0.06100774714120741
97,dna-private,12,10,2,8058,761,0.47220153884338545,-1.0825253517576907,0.27814822883872553,0.8333333333333334,0.16666666666666666,0.577637734577502
99,dna-private,29,27,2,8041,761,1.2776395970650416,0.3534809310772793,1.0,0.9310344827586207,0.06896551724137931,1.0
100,dna-private,75,65,10,8003,753,0.6115831563163814,-0.7093794210752576,0.14712020428753547,0.8666666666666667,0.13333333333333333,0.3984695130183356
101,prot-private,80,78,2,7990,761,3.714518147684606,1.8931750745504548,0.045117542862331314,0.975,0.025,0.17746546516088696
102,prot-private,18,17,1,8051,762,1.6089926717177991,0.6861577552096091,1.0,0.9444444444444444,0.05555555555555555,1.0
