feature,concept,confidence,modality,n_active,path_rate,top_gene,top_sub
666,aromatic-loss (pi-stacking disruption),0.94,cross-modal,117,0.8,BEST1,Y>H
1184,cysteine-loss (disulfide disruption),0.93,dna-driven,718,0.99,FBN1,C>Y
1329,hydrophobicity-switch,0.93,cross-modal,140,0.65,F9,L>Q
367,charge-reversal,0.93,novel,454,1.0,GAA,E>K
49,hydrophobicity-switch,0.91,cross-modal,1024,0.92,FBN1,L>P
1387,proline-introduction (helix breaker),0.91,cross-modal,254,0.92,ITGA2B,L>P
89,hydrophobicity-switch,0.9,cross-modal,183,1.0,DICER1,D>A
870,cysteine-loss (disulfide disruption),0.9,cross-modal,544,0.93,FBN1,C>Y
65,cysteine-loss (disulfide disruption),0.9,cross-modal,105,1.0,FBN1,C>F
285,hydrophobicity-switch,0.89,cross-modal,21,0.85,APRT,L>P
1258,hydrophobicity-switch,0.88,cross-modal,402,0.82,PAH,I>N
201,hydrophobicity-switch,0.88,dna-driven,274,0.96,COL2A1,G>V
2044,hydrophobicity-switch,0.88,cross-modal,449,0.95,GUCY2C,L>P
361,hydrophobicity-switch,0.87,dna-driven,349,0.97,GFAP,R>L
1879,hydrophobicity-switch,0.87,novel,275,0.52,ACADM,I>T
213,hydrophobicity-switch,0.87,cross-modal,76,0.8,FANCA,M>R
862,hydrophobicity-switch,0.87,dna-driven,347,0.41,STIL,A>D
1683,cysteine-loss (disulfide disruption),0.87,dna-driven,417,0.98,FBN1,C>Y
1740,hydrophobicity-switch,0.87,dna-driven,115,0.85,CLCNKB,M>R
637,hydrophobicity-switch,0.86,cross-modal,224,0.95,PDGFRB,D>V
75,cysteine-loss (disulfide disruption),0.86,novel,424,0.81,UMOD,C>Y
480,hydrophobicity-switch,0.86,dna-driven,426,0.71,COL3A1,G>V
205,hydrophobicity-switch,0.86,novel,79,0.65,APTX,D>A
1518,hydrophobicity-switch,0.86,cross-modal,149,0.25,MLH1,M>R
762,hydrophobicity-switch,0.85,novel,89,0.6,NR0B1,L>H
556,hydrophobicity-switch,0.85,dna-driven,401,0.88,KMT2A,L>P
1124,cysteine-loss (disulfide disruption),0.84,cross-modal,198,1.0,FBN1,C>F
1200,charge-reversal,0.84,novel,375,0.86,ASL,D>H
114,cysteine-loss (disulfide disruption),0.84,cross-modal,113,0.95,PHF6,C>F
1598,hydrophobicity-switch,0.83,protein-driven,143,0.35,PXDNL,I>T
1773,hydrophobicity-switch,0.83,novel,174,0.45,TP53,L>H
827,hydrophobicity-switch,0.83,cross-modal,272,1.0,LMNA,L>P
1012,aromatic-loss (pi-stacking disruption),0.83,novel,76,0.6,USH2A,Y>C
1838,hydrophobicity-switch,0.83,dna-driven,661,0.65,TP53,M>K
1420,hydrophobicity-switch,0.82,novel,383,0.84,FBN1,R>G
1795,hydrophobicity-switch,0.82,novel,211,0.86,SLC24A4,L>H
216,hydrophobicity-switch,0.82,dna-driven,20,0.55,SOD1,I>T
1911,hydrophobicity-switch,0.82,cross-modal,73,0.8,IFT140,L>P
1198,hydrophobicity-switch,0.82,novel,77,0.9,F8,S>L
618,cysteine-loss (disulfide disruption),0.81,novel,326,0.84,FBN1,C>Y
1414,proline-introduction (helix breaker),0.81,dna-driven,94,0.85,CC2D2A,R>P
1927,hydrophobicity-switch,0.81,dna-driven,96,0.85,SKIC2,L>R
254,hydrophobicity-switch,0.81,dna-driven,65,0.8,MAPK1,I>N
559,aromatic-loss (pi-stacking disruption),0.8,novel,195,0.85,FARSB,F>S
183,hydrophobicity-switch,0.8,cross-modal,59,0.45,TIE1,R>C
200,aromatic-loss (pi-stacking disruption),0.8,cross-modal,152,1.0,F9,Y>C
1517,hydrophobicity-switch,0.8,cross-modal,756,0.52,MAT1A,L>P
232,cysteine-loss (disulfide disruption),0.8,novel,2125,0.74,FBN1,C>Y
311,hydrophobicity-switch,0.8,cross-modal,317,0.94,SCN1A,V>D
298,hydrophobicity-switch,0.8,novel,69,0.9,IVD,L>P
1625,hydrophobicity-switch,0.8,dna-driven,143,0.95,ATP1A2,R>L
940,cysteine-gain (novel disulfide/redox),0.79,protein-driven,383,0.95,FN1,W>C
911,hydrophobicity-switch,0.79,novel,516,0.9,CHD2,R>G
1938,hydrophobicity-switch,0.79,dna-driven,94,0.65,EPB41,L>P
1266,hydrophobicity-switch,0.79,dna-driven,54,0.95,F8,R>L
1174,hydrophobicity-switch,0.79,cross-modal,858,0.96,SCN1A,L>P
1847,hydrophobicity-switch,0.79,cross-modal,282,0.93,NF1,L>P
1707,aromatic-loss (pi-stacking disruption),0.78,novel,836,0.77,F8,F>S
1462,hydrophobicity-switch,0.78,cross-modal,72,0.3,SLC5A5,V>G
428,hydrophobicity-switch,0.78,novel,782,0.68,TP53,L>Q
1971,hydrophobicity-switch,0.78,novel,538,0.74,NF1,L>P
1072,glycine-loss (structural flexibility),0.77,dna-driven,385,0.95,COL2A1,G>D
1219,hydrophobicity-switch,0.77,dna-driven,168,0.75,CALM3,I>R
468,hydrophobicity-switch,0.76,novel,279,0.74,GLA,I>T
1658,hydrophobicity-switch,0.76,novel,277,0.78,ATM,I>N
463,collagen Gly-X-Y disruption,0.75,dna-driven,208,1.0,COL1A1,G>D
296,proline-introduction (helix breaker),0.75,cross-modal,608,0.92,HBA2,L>P
422,hydrophobicity-switch,0.75,cross-modal,107,1.0,SCN1A,A>D
384,cysteine-loss (disulfide disruption),0.75,novel,375,0.78,FBN1,C>S
1391,hydrophobicity-switch,0.75,cross-modal,115,0.25,LRIG1,L>Q
348,hydrophobicity-switch,0.75,cross-modal,331,0.82,TUBB,D>V
1422,hydrophobicity-switch,0.75,dna-driven,209,1.0,CHRNA1,R>L
220,hydrophobicity-switch,0.74,novel,651,0.54,APRT,L>P
245,hydrophobicity-switch,0.74,dna-driven,1390,0.67,ITGA2B,L>P
1135,proline-introduction (helix breaker),0.74,protein-driven,66,1.0,TGFBR1,R>P
331,hydrophobicity-switch,0.74,novel,539,0.94,KCNQ2,D>A
1514,aromatic-loss (pi-stacking disruption),0.74,cross-modal,155,0.95,EDA,F>S
1402,hydrophobicity-switch,0.74,cross-modal,63,0.9,SCN1A,L>S
1421,hydrophobicity-switch,0.74,dna-driven,1007,0.82,HBB,R>L
1665,cysteine-loss (disulfide disruption),0.73,novel,86,0.85,RET,C>F
1809,cysteine-loss (disulfide disruption),0.73,dna-driven,91,0.65,PRSS56,C>R
1535,aromatic-loss (pi-stacking disruption),0.73,dna-driven,829,0.98,ACTA1,Y>C
381,hydrophobicity-switch,0.73,dna-driven,92,0.75,GRIN2A,M>R
149,glycine-loss (structural flexibility),0.73,cross-modal,1928,0.97,COL7A1,G>D
1431,proline-introduction (helix breaker),0.72,dna-driven,330,0.88,TSC1,L>P
446,cysteine-gain (novel disulfide/redox),0.71,cross-modal,66,0.85,PPOX,R>C
757,hydrophobicity-switch,0.71,dna-driven,113,0.85,ATP7A,P>L
444,hydrophobicity-switch,0.71,novel,221,0.59,LDLR,I>T
601,hydrophobicity-switch,0.71,novel,316,0.48,KRT74,L>H
938,hydrophobicity-switch,0.71,dna-driven,653,0.72,FBN1,D>V
