feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
9633,2498,0.07,cross-mo,0.595,benign-general,1,CDH1,0.016,transporter,0.008,V>A,0.04,0.089,0.024,0.024,0.056,2.76,0.42,42.6,False,0.179,GO:0005886,GO:0005634,GO:0005829
9634,73,-1.0,cross-mo,0.579,benign-general,1,ZNF264,0.1,other,0.0,I>T,0.85,0.0,0.0,0.0,0.0,4.81,0.0,43.6,False,0.094,GO:0005634,GO:0008270,GO:0006357
9636,17,1.0,cross-mo,0.566,mechanism:glycine-loss,2,ABCD1,0.45,ion_channel,0.1,G>R,0.15,0.55,0.1,0.1,0.05,3.26,0.48,75.2,False,0.769,GO:0005737,GO:0005829,GO:0016020
9637,325,0.111,cross-mo,0.607,unresolved,0,CLCN7,0.1,transporter,0.2,R>Q,1.0,0.0,0.0,0.0,0.0,1.0,1.0,29.6,False,0.245,GO:0005737,GO:0005829,GO:0005886
9638,19,0.833,cross-mo,0.551,unresolved,0,NR0B1,0.05,ion_channel,0.05,H>R,0.85,0.0,0.0,0.05,0.0,1.44,0.48,27.2,False,0.163,GO:0005737,GO:0005634,GO:0005829
9639,22608,0.477,cross-mo,0.629,unresolved,0,LDLR,0.006,transporter,0.027,P>L,0.07,0.188,0.004,0.047,0.032,3.15,0.4,46.2,False,0.264,GO:0005886,GO:0005634,GO:0005829
9640,31,0.125,cross-mo,0.537,unresolved,0,HTRA1,0.05,transporter,0.05,N>S,0.25,0.05,0.0,0.0,0.25,2.58,0.05,30.0,False,0.189,GO:0005886,GO:0070062,GO:0016020
9642,4170,0.792,cross-mo,0.583,unresolved,0,EDA,0.01,transporter,0.024,G>D,0.048,0.202,0.043,0.038,0.038,3.15,0.58,54.8,False,0.218,GO:0005886,GO:0005829,GO:0016020
9643,462,0.133,cross-mo,0.405,unresolved,0,ELOA2,0.087,transporter,0.043,R>Q,0.217,0.13,0.0,0.087,0.0,2.4,0.61,42.7,False,0.412,GO:0005654,GO:0005634,GO:0005829
9644,44,0.25,cross-mo,0.585,unresolved,0,FCRL3,0.1,ion_channel,0.05,R>H,0.15,0.0,0.0,0.0,0.05,2.82,0.4,35.8,False,0.211,GO:0005886,GO:0016020,GO:0005737
9646,19,0.667,cross-mo,0.564,unresolved,0,KCNA2,0.05,transporter,0.15,F>S,0.8,0.0,0.05,0.05,0.05,3.22,0.12,90.9,False,0.261,GO:0005886,GO:0016020,GO:0030425
9647,144,0.222,cross-mo,0.578,unresolved,0,CCKBR,0.05,other,0.0,Y>C,0.15,0.05,0.15,0.15,0.0,3.81,0.22,54.5,False,0.33,GO:0005886,GO:0005576,GO:0005615
9648,41,0.889,cross-mo,0.572,mechanism:proline-introduction,3,MME,0.05,transporter,0.1,S>P,1.0,0.0,0.0,0.0,1.0,0.8,0.0,23.7,False,0.268,GO:0005886,GO:0016020,GO:0005654
9649,15,0.571,cross-mo,0.564,unresolved,0,BARD1,0.05,ion_channel,0.1,S>N,0.7,0.05,0.0,0.05,0.05,2.75,0.15,40.4,False,0.537,GO:0005634,GO:0005654,GO:0000785
9650,368,0.0,cross-mo,0.606,mechanism:glycine-loss,2,ADD1,0.05,transporter,0.05,G>S,0.8,0.95,0.0,0.0,0.0,1.06,0.15,40.1,False,0.367,GO:0005634,GO:0005829,GO:0005886
9653,17,0.7,cross-mo,0.517,unresolved,0,KCNA2,0.05,ion_channel,0.05,K>R,0.75,0.0,0.0,0.05,0.05,1.2,0.2,22.5,False,0.48,GO:0005654,GO:0005886,GO:0005634
9654,29,-1.0,cross-mo,0.582,unresolved,0,H1-4,0.2,keratin,0.05,P>L,0.6,0.0,0.0,0.0,0.0,4.01,0.25,50.6,False,0.441,GO:0005634,GO:0003723,GO:0005654
9655,13617,0.315,dna-driv,0.136,unresolved,0,CDH1,0.006,transporter,0.028,A>V,0.224,0.082,0.0,0.007,0.0,2.99,0.24,51.3,False,0.166,GO:0005829,GO:0005886,GO:0005737
9656,414,1.0,cross-mo,0.585,pathogenic-general,1,INS,0.1,transporter,0.05,A>D,0.1,0.1,0.1,0.05,0.0,3.48,0.55,53.6,False,0.281,GO:0070062,GO:0005576,GO:0005886
9657,718,0.0,cross-mo,0.585,benign-general,1,CNGA2,0.057,transporter,0.029,E>K,0.971,0.0,0.0,0.0,0.0,0.4,1.99,30.5,False,0.261,GO:0005829,GO:0005886,GO:0005737
9659,196,0.0,cross-mo,0.594,gene-family:keratin,4,KRT1,0.15,keratin,1.0,R>Q,0.4,0.0,0.0,0.0,0.0,1.64,0.8,30.8,False,0.143,GO:0005829,GO:0045095,GO:0030280
9660,191,0.667,cross-mo,0.579,unresolved,0,FZD9,0.05,other,0.0,N>S,1.0,0.0,0.0,0.0,0.0,2.7,0.0,25.1,False,0.288,GO:0005886,GO:0005737,GO:0005794
9663,125,0.0,cross-mo,0.584,benign-general,1,ZNF594,0.1,other,0.0,I>V,0.85,0.0,0.0,0.0,0.0,0.33,0.0,25.4,False,0.093,GO:0005634,GO:0008270,GO:0006357
9665,140,0.833,cross-mo,0.613,unresolved,0,F11,0.1,coagulation,0.1,T>I,0.2,0.1,0.05,0.05,0.05,3.6,0.4,61.1,False,0.149,GO:0005886,GO:0016020,GO:0070062
9666,291,0.818,cross-mo,0.584,unresolved,0,ALPL,0.05,keratin,0.05,Y>N,1.0,0.0,0.0,0.0,0.0,2.2,0.0,79.5,False,0.315,GO:0005886,GO:0016020,GO:0070062
9670,369,0.75,cross-mo,0.59,mechanism:glycine-loss,2,CPA1,0.1,coagulation,0.05,G>S,0.75,1.0,0.0,0.0,0.0,0.97,0.0,31.4,False,0.178,GO:0005615,GO:0005737,GO:0005829
9675,97,0.0,cross-mo,0.588,benign-general,1,PSG5,0.1,ion_channel,0.05,S>I,0.25,0.1,0.0,0.0,0.0,4.72,0.2,66.5,False,0.373,GO:0005886,GO:0005576,GO:0009986
9677,38,-1.0,cross-mo,0.576,mechanism:glycine-loss,2,ZNF786,0.1,other,0.0,G>R,1.0,1.0,0.0,0.0,0.0,4.1,1.0,113.3,False,0.004,GO:0005634,GO:0008270,GO:0006357
9678,240,0.286,cross-mo,0.598,unresolved,0,KRTAP10-5,0.1,keratin,0.1,P>L,0.15,0.2,0.05,0.1,0.0,3.65,0.4,57.1,False,0.312,GO:0042802,GO:0005829,GO:0005886
9679,13,0.333,cross-mo,0.576,mechanism:glycine-loss,2,NR0B1,0.05,ion_channel,0.05,G>V,0.5,0.55,0.0,0.05,0.05,3.86,0.22,65.6,False,0.269,GO:0005737,GO:0016020,GO:0005886
9682,14,0.857,cross-mo,0.58,unresolved,0,ALB,0.1,RAS_MAPK,0.05,E>V,0.4,0.0,0.0,0.0,0.0,4.96,0.6,21.9,False,0.357,GO:0005634,GO:0005886,GO:0005829
9684,75,0.889,cross-mo,0.568,unresolved,0,PTEN,0.05,transporter,0.05,T>I,0.15,0.0,0.05,0.0,0.0,3.18,0.1,59.1,False,0.247,GO:0005634,GO:0005886,GO:0005829
9685,86,-1.0,cross-mo,0.562,benign-general,1,ZNF426,0.05,transporter,0.05,H>R,0.85,0.0,0.0,0.0,0.05,1.39,0.52,25.4,False,0.132,GO:0008270,GO:0005634,GO:0000981
9686,298,-1.0,cross-mo,0.589,benign-general,1,SLC20A2,0.05,transporter,0.05,D>E,0.95,0.0,0.0,0.0,0.0,0.11,0.05,30.1,False,0.219,GO:0005829,GO:0016020,GO:0005886
9690,5765,0.382,dna-driv,0.174,unresolved,0,HBB,0.007,transporter,0.017,P>A,0.288,0.076,0.0,0.212,0.021,2.79,0.16,41.1,False,0.256,GO:0005886,GO:0005829,GO:0005634
9693,542,0.0,cross-mo,0.6,benign-general,1,H6PD,0.037,transporter,0.037,E>G,0.074,0.074,0.037,0.111,0.074,3.0,0.48,47.0,False,0.219,GO:0005886,GO:0005829,GO:0005654
