feature,n_active,path_rate,modality,modality_ratio,concept,specificity,top_gene,top_gene_frac,top_family,top_family_frac,top_sub,top_sub_frac,gly_from,cys_from,cys_to,pro_to,mean_hydro_change,mean_charge_change,mean_vol_change,pos_clustered,mean_pLI,top_go_1,top_go_2,top_go_3
1800,711,0.25,cross-mo,0.557,unresolved,0,ETV6,0.057,keratin,0.057,D>G,0.2,0.0,0.0,0.0,0.229,3.26,0.6,47.9,False,0.324,GO:0005737,GO:0005634,GO:0005654
1803,4461,0.862,dna-driv,0.252,unresolved,0,MLH1,0.022,ion_channel,0.022,G>D,0.152,0.166,0.0,0.031,0.0,3.49,0.63,38.6,False,0.342,GO:0005829,GO:0005634,GO:0005737
1804,156,0.1,cross-mo,0.59,unresolved,0,MSH2,0.1,RAS_MAPK,0.1,I>L,0.65,0.0,0.0,0.0,0.0,0.67,0.05,8.1,False,0.357,GO:0005634,GO:0005829,GO:0005886
1805,33,0.778,cross-mo,0.591,mechanism:hydrophobicity-switch,2,GAA,0.05,ion_channel,0.2,P>L,0.9,0.0,0.0,0.0,0.0,5.08,0.0,50.0,False,0.28,GO:0016020,GO:0005886,GO:0005829
1806,763,0.833,cross-mo,0.6,unresolved,0,G6PD,0.079,transporter,0.026,L>F,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23.2,False,0.256,GO:0005737,GO:0005829,GO:0070062
1808,44,0.769,cross-mo,0.561,mechanism:hydrophobicity-switch,2,SLC26A4,0.3,transporter,0.35,Q>L,0.65,0.0,0.0,0.0,0.1,5.06,0.22,23.7,False,0.101,GO:0005886,GO:0016020,GO:0070062
1811,26,0.222,cross-mo,0.561,unresolved,0,NFKB2,0.05,other,0.0,R>Q,0.65,0.0,0.0,0.05,0.0,1.74,0.92,33.7,False,0.382,GO:0005829,GO:0005634,GO:0005737
1815,1387,0.758,dna-driv,0.295,unresolved,0,BEST1,0.043,hemoglobin,0.029,N>K,0.319,0.0,0.043,0.0,0.0,1.15,0.47,36.9,False,0.488,GO:0005829,GO:0005634,GO:0005737
1817,101,0.667,cross-mo,0.575,unresolved,0,KATNB1,0.05,transporter,0.05,V>M,0.3,0.05,0.05,0.05,0.05,2.69,0.2,41.9,False,0.169,GO:0005634,GO:0005886,GO:0005737
1818,123,0.857,cross-mo,0.584,unresolved,0,GRHL1,0.05,other,0.0,Y>D,0.2,0.0,0.05,0.1,0.05,2.96,0.6,72.0,False,0.428,GO:0005634,GO:0005829,GO:0070062
1821,968,0.0,cross-mo,0.603,benign-general,1,SUSD6,0.042,ion_channel,0.042,V>M,0.542,0.0,0.0,0.0,0.0,2.53,0.04,27.7,False,0.171,GO:0005886,GO:0005829,GO:0016020
1823,156,0.1,cross-mo,0.565,unresolved,0,DDX41,0.05,transporter,0.05,A>V,0.2,0.1,0.05,0.05,0.1,2.74,0.2,51.5,False,0.191,GO:0005886,GO:0005654,GO:0005634
1828,26,0.182,cross-mo,0.581,unresolved,0,ADGRG1,0.1,other,0.0,P>L,0.7,0.0,0.0,0.0,0.0,4.7,0.1,44.9,False,0.432,GO:0005886,GO:0005737,GO:0005634
1829,344,-1.0,cross-mo,0.59,benign-general,1,THEMIS,0.05,other,0.0,D>N,0.9,0.0,0.0,0.0,0.0,0.12,1.02,8.9,False,0.12,GO:0005634,GO:0005737,GO:0005654
1831,5348,0.649,cross-mo,0.558,unresolved,0,CFHR4,0.022,ion_channel,0.045,C>Y,0.064,0.041,0.105,0.019,0.079,3.09,0.36,51.1,False,0.259,GO:0005829,GO:0005886,GO:0005737
1834,234,0.0,cross-mo,0.585,benign-general,1,EIF3CL,0.05,transporter,0.05,T>I,0.2,0.0,0.0,0.05,0.05,3.1,0.2,45.5,False,0.128,GO:0005886,GO:0005739,GO:0005829
1838,154,-1.0,cross-mo,0.572,benign-general,1,STK32B,0.05,other,0.0,R>W,0.5,0.0,0.0,0.0,0.0,3.48,0.7,41.6,False,0.203,GO:0005634,GO:0005737,GO:0005615
1839,1858,0.688,dna-driv,0.305,unresolved,0,TK2,0.022,transporter,0.054,A>V,0.326,0.043,0.022,0.043,0.0,3.01,0.21,39.7,False,0.207,GO:0005829,GO:0005737,GO:0005634
1840,16,-1.0,cross-mo,0.569,unresolved,0,ASPA,0.05,RAS_MAPK,0.05,D>G,0.8,0.0,0.0,0.0,0.0,2.76,0.8,48.7,False,0.12,GO:0005634,GO:0008270,GO:0005737
1841,214,0.3,cross-mo,0.574,mechanism:cysteine-gain,4,HOXB7,0.05,transporter,0.05,Y>C,0.95,0.0,0.0,0.95,0.0,3.63,0.0,86.1,False,0.462,GO:0005634,GO:0005829,GO:0005737
1846,11871,0.021,dna-driv,0.129,benign-general,1,SANBR,0.005,transporter,0.047,V>I,0.135,0.066,0.03,0.024,0.027,1.59,0.28,29.6,False,0.159,GO:0005886,GO:0005634,GO:0005737
1848,557,0.9,dna-driv,0.346,unresolved,0,TMT1B,0.037,transporter,0.074,P>L,0.556,0.444,0.0,0.0,0.0,3.86,0.19,58.5,False,0.38,GO:0005829,GO:0005886,GO:0005739
1849,370,0.895,cross-mo,0.618,unresolved,0,MECP2,0.2,other,0.0,M>L,0.55,0.0,0.0,0.0,0.0,2.14,0.0,10.7,False,0.506,GO:0005634,GO:0005829,GO:0000785
1850,2989,0.86,dna-driv,0.229,unresolved,0,PSEN1,0.034,ion_channel,0.027,R>I,0.081,0.121,0.0,0.081,0.0,3.73,0.71,47.7,False,0.47,GO:0005829,GO:0005634,GO:0005654
1851,1624,0.019,cross-mo,0.61,mechanism:glycine-loss,2,HNRNPU,0.049,other,0.0,G>E,0.37,0.568,0.0,0.0,0.0,2.49,1.13,49.3,False,0.35,GO:0005634,GO:0005654,GO:0005829
1853,187,0.875,cross-mo,0.578,mechanism:glycine-loss,2,TNFRSF1A,0.15,transporter,0.1,G>R,0.25,0.65,0.15,0.0,0.05,3.4,0.7,77.5,False,0.357,GO:0016020,GO:0005829,GO:0005886
1856,1162,0.0,cross-mo,0.592,benign-general,1,FAM20C,0.034,transporter,0.034,A>V,0.586,0.121,0.0,0.017,0.0,3.2,0.14,49.0,False,0.214,GO:0005634,GO:0005654,GO:0005829
1858,916,0.065,cross-mo,0.365,benign-general,1,CIROZ,0.044,collagen,0.022,G>S,0.267,0.356,0.0,0.044,0.0,2.4,0.34,42.9,False,0.066,GO:0005886,GO:0005737,GO:0005829
1859,418,1.0,cross-mo,0.423,mechanism:charge-reversal,2,LDLR,0.1,ion_channel,0.05,D>Y,0.9,0.0,0.0,0.0,0.0,2.2,0.9,82.2,False,0.336,GO:0005886,GO:0042802,GO:0016020
1860,195,0.889,cross-mo,0.421,unresolved,0,KLHL24,0.2,other,0.0,R>G,0.2,0.05,0.05,0.0,0.3,3.22,0.45,57.2,False,0.227,GO:0005737,GO:0005654,GO:0005634
1861,117,0.0,cross-mo,0.583,benign-general,1,GNB3,0.1,transporter,0.05,T>I,0.5,0.1,0.0,0.05,0.0,4.48,0.15,55.1,False,0.185,GO:0005886,GO:0005737,GO:0005829
1863,2351,0.033,cross-mo,0.594,benign-general,1,MRE11,0.017,ion_channel,0.06,A>T,0.308,0.0,0.017,0.0,0.026,2.8,0.15,40.1,False,0.264,GO:0005886,GO:0005634,GO:0005737
1864,635,0.25,cross-mo,0.631,mechanism:glycine-loss,2,VWA2,0.032,coagulation,0.065,G>D,1.0,1.0,0.0,0.0,0.0,3.1,1.0,51.0,False,0.179,GO:0005886,GO:0005634,GO:0070062
1866,875,0.0,cross-mo,0.589,benign-general,1,DENND2D,0.023,coagulation,0.023,T>A,0.907,0.023,0.0,0.0,0.0,2.46,0.0,25.6,False,0.263,GO:0005737,GO:0005829,GO:0005634
1867,220,-1.0,cross-mo,0.599,benign-general,1,BTBD18,0.05,other,0.0,W>C,0.1,0.05,0.05,0.1,0.0,2.59,0.32,47.9,False,0.29,GO:0005634,GO:0005829,GO:0042802
1871,2086,0.4,cross-mo,0.574,unresolved,0,ALPL,0.019,transporter,0.048,A>T,1.0,0.0,0.0,0.0,0.0,2.5,0.0,27.5,False,0.211,GO:0005886,GO:0005829,GO:0005737
1872,139,0.75,cross-mo,0.576,mechanism:proline-introduction,3,TP53,0.1,transporter,0.15,A>P,0.45,0.0,0.0,0.0,0.85,2.88,0.32,30.5,False,0.187,GO:0005737,GO:0005829,GO:0005739
1873,2838,0.904,dna-driv,0.227,mechanism:charge-reversal,2,FH,0.035,transporter,0.057,G>D,0.454,0.858,0.0,0.0,0.0,2.77,0.86,58.2,False,0.282,GO:0005829,GO:0005634,GO:0005737
1874,27,-1.0,cross-mo,0.493,unresolved,0,SLC38A8,0.05,transporter,0.05,P>A,0.3,0.1,0.0,0.0,0.0,2.34,0.28,39.5,False,0.19,GO:0016020,GO:0005524,GO:0005634
1878,22,1.0,cross-mo,0.506,mechanism:hydrophobicity-switch,2,PURA,0.2,ion_channel,0.15,V>E,0.3,0.05,0.0,0.05,0.1,6.12,0.5,27.6,False,0.358,GO:0005886,GO:0005737,GO:0016020
1881,2823,0.0,cross-mo,0.61,mechanism:hydrophobicity-switch,2,MARCHF10,0.021,ion_channel,0.035,P>L,1.0,0.0,0.0,0.0,0.0,5.4,0.0,54.0,False,0.231,GO:0005634,GO:0005654,GO:0005829
1883,77,0.0,cross-mo,0.567,benign-general,1,SPDYE3,0.2,other,0.0,G>R,0.2,0.5,0.0,0.0,0.05,2.86,0.65,58.8,False,0.114,GO:0005634,GO:0005654,GO:0070062
1886,192,0.7,cross-mo,0.583,mechanism:charge-reversal,2,ASL,0.1,other,0.0,R>Q,1.0,0.0,0.0,0.0,0.0,1.0,1.0,29.6,False,0.232,GO:0005829,GO:0005737,GO:0005634
1888,235,-1.0,cross-mo,0.598,benign-general,1,MAF,0.1,RAS_MAPK,0.05,P>L,0.65,0.0,0.0,0.0,0.0,4.27,0.28,53.2,False,0.356,GO:0005576,GO:0005886,GO:0005634
1892,3111,0.146,dna-driv,0.252,unresolved,0,TNFRSF10A,0.013,transporter,0.039,P>L,0.174,0.2,0.0,0.032,0.0,2.67,0.39,43.3,False,0.103,GO:0005886,GO:0005634,GO:0005829
1894,6397,0.73,cross-mo,0.569,unresolved,0,MSH2,0.013,transporter,0.044,P>L,0.103,0.034,0.063,0.031,0.031,2.9,0.37,48.9,False,0.251,GO:0005829,GO:0005886,GO:0005634
1895,635,0.615,cross-mo,0.575,unresolved,0,INCENP,0.032,transporter,0.032,G>R,0.129,0.29,0.161,0.032,0.032,3.11,0.6,58.9,False,0.351,GO:0005829,GO:0005886,GO:0005737
1898,834,0.75,cross-mo,0.587,mechanism:proline-introduction,3,GPR52,0.024,transporter,0.073,L>P,0.683,0.0,0.024,0.0,0.707,5.12,0.12,52.1,False,0.209,GO:0005886,GO:0005829,GO:0005737
1902,197,0.8,cross-mo,0.589,unresolved,0,OR5AP2,0.05,transporter,0.05,S>F,0.65,0.0,0.0,0.05,0.0,3.77,0.1,83.4,False,0.25,GO:0005886,GO:0016020,GO:0005829
1903,44,0.167,cross-mo,0.568,mechanism:cysteine-gain,4,SUFU,0.05,ion_channel,0.05,Y>C,0.35,0.0,0.0,0.45,0.0,3.48,0.18,56.3,False,0.242,GO:0005634,GO:0008270,GO:0006357
1905,1326,0.027,dna-driv,0.315,benign-general,1,GP6,0.045,transporter,0.03,R>Q,0.227,0.348,0.0,0.015,0.0,2.69,0.55,51.6,False,0.071,GO:0005886,GO:0005737,GO:0005634
1907,58,0.786,cross-mo,0.555,mechanism:cysteine-gain,4,MEIS2,0.1,other,0.0,Y>C,0.8,0.0,0.0,0.8,0.0,3.29,0.02,80.7,False,0.429,GO:0005634,GO:0000785,GO:0000981
1908,1111,0.091,cross-mo,0.65,mechanism:hydrophobicity-switch,2,LZTR1,0.055,keratin,0.036,A>D,1.0,0.0,0.0,0.0,0.0,5.3,1.0,22.5,False,0.173,GO:0005634,GO:0005829,GO:0005886
1910,20542,0.795,cross-mo,0.613,unresolved,0,VHL,0.01,transporter,0.018,R>C,0.101,0.113,0.035,0.167,0.043,3.45,0.57,55.3,False,0.304,GO:0005829,GO:0005634,GO:0005886
1912,87,0.667,cross-mo,0.601,unresolved,0,ATP6AP1,0.1,transporter,0.1,N>S,0.9,0.0,0.0,0.0,0.0,2.45,0.08,24.7,False,0.149,GO:0005886,GO:0016020,GO:0070062
1913,920,0.833,dna-driv,0.334,unresolved,0,MAT1A,0.043,transporter,0.065,M>I,0.348,0.022,0.022,0.022,0.0,3.29,0.33,21.9,False,0.204,GO:0005829,GO:0016020,GO:0005886
1915,315,0.222,cross-mo,0.588,unresolved,0,NPIPA5,0.05,transporter,0.05,D>E,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,False,0.506,GO:0005829,GO:0005634,GO:0005654
1917,70,0.889,cross-mo,0.517,unresolved,0,TYMP,0.05,other,0.0,F>S,1.0,0.0,0.0,0.0,0.0,3.6,0.0,100.9,False,0.113,GO:0005829,GO:0005737,GO:0016020
1919,13,0.857,cross-mo,0.581,unresolved,0,ZNF584,0.05,ion_channel,0.1,L>P,0.25,0.05,0.0,0.0,0.3,3.58,0.1,49.4,False,0.354,GO:0005886,GO:0005634,GO:0005654
1920,13,0.75,cross-mo,0.587,unresolved,0,GBA1,0.15,RAS_MAPK,0.05,V>L,0.5,0.05,0.0,0.05,0.05,1.56,0.1,44.8,False,0.293,GO:0005737,GO:0005886,GO:0005829
1923,67,0.727,cross-mo,0.593,mechanism:glycine-loss,2,MLC1,0.15,transporter,0.05,G>R,0.45,0.8,0.0,0.05,0.0,3.59,0.55,76.4,False,0.134,GO:0005886,GO:0016020,GO:0005829
1926,2888,0.26,cross-mo,0.564,mechanism:glycine-loss,2,GCK,0.014,transporter,0.035,G>R,0.403,1.0,0.0,0.042,0.0,3.01,0.58,78.0,False,0.283,GO:0005634,GO:0005829,GO:0005737
1927,145,0.0,cross-mo,0.613,benign-general,1,CCNL2,0.1,other,0.0,R>H,0.95,0.0,0.0,0.0,0.0,1.44,0.52,24.9,False,0.534,GO:0005654,GO:0005634,GO:0003723
1928,14,0.222,cross-mo,0.564,unresolved,0,DGKQ,0.05,RAS_MAPK,0.05,M>V,0.65,0.0,0.0,0.0,0.05,2.3,0.0,25.4,False,0.118,GO:0005886,GO:0004930,GO:0004984
1929,123,-1.0,cross-mo,0.572,mechanism:cysteine-gain,4,ZNF500,0.05,other,0.0,R>C,0.55,0.0,0.0,0.55,0.05,4.64,0.82,48.7,False,0.044,GO:0008270,GO:0005634,GO:0000981
1930,11,0.444,cross-mo,0.538,unresolved,0,OTC,0.05,ion_channel,0.05,G>A,0.3,0.35,0.0,0.05,0.05,2.27,0.08,37.5,False,0.218,GO:0005829,GO:0005634,GO:0005886
1931,24,-1.0,cross-mo,0.574,unresolved,0,SLC1A2,0.1,transporter,0.25,N>S,0.65,0.0,0.0,0.0,0.0,2.28,0.3,35.3,False,0.293,GO:0005886,GO:0016020,GO:0150104
1932,4450,0.084,dna-driv,0.205,benign-general,1,BARD1,0.014,transporter,0.032,Q>R,0.455,0.0,0.009,0.0,0.126,2.06,0.69,33.4,False,0.09,GO:0005886,GO:0005634,GO:0005737
1934,24,0.625,cross-mo,0.585,unresolved,0,BAG3,0.1,other,0.0,P>Q,0.65,0.0,0.0,0.05,0.0,2.11,0.1,34.0,False,0.343,GO:0005829,GO:0005737,GO:0005634
1937,10639,0.105,cross-mo,0.606,unresolved,0,KRTAP10-4,0.009,transporter,0.034,C>Y,0.117,0.06,0.363,0.002,0.045,2.99,0.3,48.3,False,0.183,GO:0005634,GO:0005886,GO:0005737
1939,1044,0.061,cross-mo,0.572,benign-general,1,IGFALS,0.058,other,0.0,R>H,0.962,0.0,0.0,0.0,0.019,1.32,0.52,21.2,False,0.1,GO:0005615,GO:0005886,GO:0005576
1944,222,0.429,cross-mo,0.611,mechanism:cysteine-gain,4,PRSS56,0.05,transporter,0.05,R>C,0.7,0.0,0.0,0.7,0.05,6.12,0.9,64.1,False,0.069,GO:0005886,GO:0005615,GO:0005829
1945,1406,0.235,cross-mo,0.351,unresolved,0,BAG3,0.029,transporter,0.086,Q>R,0.3,0.0,0.029,0.014,0.186,3.45,0.59,35.6,False,0.147,GO:0005737,GO:0005886,GO:0005829
1946,73,0.556,cross-mo,0.59,unresolved,0,LMNA,0.2,other,0.0,R>W,0.6,0.0,0.0,0.2,0.05,4.03,0.98,56.8,False,0.467,GO:0005829,GO:0042802,GO:0005634
1947,45,1.0,cross-mo,0.582,unresolved,0,FBXO11,0.35,other,0.0,N>S,0.55,0.15,0.0,0.0,0.05,2.54,0.18,25.4,False,0.389,GO:0005829,GO:0005654,GO:0005634
1952,22552,0.783,cross-mo,0.622,unresolved,0,LDLR,0.022,transporter,0.03,N>S,0.043,0.089,0.121,0.028,0.055,2.79,0.43,45.6,False,0.306,GO:0005886,GO:0005634,GO:0005829
1954,12,1.0,cross-mo,0.554,unresolved,0,AGXT,0.25,RAS_MAPK,0.05,G>R,0.2,0.4,0.0,0.0,0.1,2.42,0.52,65.7,False,0.199,GO:0005829,GO:0016020,GO:0042802
1955,17,0.5,cross-mo,0.58,unresolved,0,OTC,0.05,ion_channel,0.05,I>L,0.15,0.05,0.0,0.3,0.05,2.2,0.3,46.7,False,0.495,GO:0005737,GO:0005829,GO:0005886
1957,18,-1.0,cross-mo,0.58,unresolved,0,EPCAM,0.1,keratin,0.05,V>A,0.3,0.1,0.05,0.0,0.0,1.89,0.2,43.7,False,0.275,GO:0005829,GO:0005886,GO:0070062
1964,193,0.083,cross-mo,0.582,mechanism:hydrophobicity-switch,2,NMB,0.1,collagen,0.05,P>L,0.85,0.0,0.0,0.05,0.0,5.23,0.15,55.2,False,0.184,GO:0005576,GO:0005615,GO:0005886
1966,1681,0.061,cross-mo,0.586,benign-general,1,GABRQ,0.024,transporter,0.036,I>V,0.952,0.0,0.0,0.0,0.0,0.37,0.0,27.0,False,0.184,GO:0005886,GO:0004930,GO:0004984
1967,39,-1.0,cross-mo,0.595,gene-specific:ELN,5,ELN,0.7,other,0.0,G>R,0.45,1.0,0.0,0.0,0.0,2.88,0.75,84.5,False,0.113,GO:0031012,GO:0071953,GO:0005576
1969,11,0.556,cross-mo,0.586,unresolved,0,KCNA2,0.05,ion_channel,0.05,W>C,0.15,0.0,0.05,0.35,0.05,2.78,0.32,57.9,False,0.374,GO:0008270,GO:0005737,GO:0005634
1970,56,0.889,cross-mo,0.591,unresolved,0,CRYAB,0.1,other,0.0,P>L,0.15,0.3,0.0,0.05,0.0,3.22,0.45,61.7,False,0.234,GO:0005634,GO:0005829,GO:0005654
1972,14033,0.756,cross-mo,0.597,unresolved,0,LDLR,0.011,transporter,0.024,F>S,0.073,0.067,0.073,0.029,0.068,3.14,0.39,52.6,False,0.252,GO:0005886,GO:0005829,GO:0005737
1974,55,1.0,cross-mo,0.59,pathogenic-general,1,POPDC3,0.05,transporter,0.05,V>F,0.65,0.0,0.0,0.0,0.0,1.36,0.0,40.6,False,0.336,GO:0005886,GO:0016020,GO:0005737
1978,634,0.0,cross-mo,0.589,benign-general,1,BHLHA15,0.065,ion_channel,0.032,R>Q,1.0,0.0,0.0,0.0,0.0,1.0,1.0,29.6,False,0.265,GO:0005634,GO:0008270,GO:0000981
1979,49,1.0,cross-mo,0.55,unresolved,0,TRIP10,0.05,cardiac_sarcomere,0.05,S>R,0.5,0.0,0.0,0.15,0.0,2.9,0.65,61.3,False,0.462,GO:0005634,GO:0005829,GO:0005654
1981,725,0.955,cross-mo,0.626,mechanism:disulfide-bond-loss,4,BMPR1A,0.111,other,0.0,C>S,0.306,0.0,1.0,0.0,0.0,4.34,0.31,56.6,False,0.182,GO:0005886,GO:0016020,GO:0005615
1983,130,0.875,cross-mo,0.592,mechanism:disulfide-bond-loss,4,KCNE1,0.1,ion_channel,0.1,C>S,0.5,0.0,1.0,0.0,0.0,3.41,0.0,46.8,False,0.253,GO:0005886,GO:0005737,GO:0016020
1984,22,0.857,cross-mo,0.554,unresolved,0,GFAP,0.15,keratin,0.35,M>T,0.4,0.0,0.0,0.0,0.0,2.57,0.08,28.3,False,0.07,GO:0005829,GO:0045109,GO:0005200
1985,24,-1.0,cross-mo,0.583,unresolved,0,ZNF396,0.1,other,0.0,E>K,1.0,0.0,0.0,0.0,0.0,0.4,2.0,30.2,False,0.058,GO:0005634,GO:0008270,GO:0006357
1986,27,0.714,cross-mo,0.579,unresolved,0,CALM2,0.05,RAS_MAPK,0.1,V>G,0.15,0.0,0.0,0.05,0.0,3.92,0.28,47.6,False,0.415,GO:0005737,GO:0005886,GO:0005829
1988,428,0.0,cross-mo,0.619,benign-general,1,ZNF578,0.095,other,0.0,E>G,0.333,0.0,0.0,0.0,0.0,2.2,0.62,54.6,False,0.131,GO:0005634,GO:0008270,GO:0005886
1990,347,0.0,cross-mo,0.572,benign-general,1,LEMD3,0.05,other,0.0,L>F,0.35,0.0,0.0,0.0,0.0,2.44,0.2,36.8,False,0.165,GO:0005886,GO:0004930,GO:0004984
1992,17,-1.0,cross-mo,0.56,mechanism:glycine-loss,2,ASPA,0.05,transporter,0.05,G>V,0.8,0.8,0.0,0.0,0.0,4.33,0.05,67.9,False,0.196,GO:0005615,GO:0016020,GO:0005576
1993,351,-1.0,cross-mo,0.606,benign-general,1,QARS1,0.05,RAS_MAPK,0.05,M>T,1.0,0.0,0.0,0.0,0.0,2.6,0.0,46.8,False,0.394,GO:0005886,GO:0005634,GO:0005737
1994,144,0.818,cross-mo,0.593,unresolved,0,GCK,0.1,keratin,0.05,C>R,0.1,0.0,0.15,0.0,0.35,3.1,0.22,42.6,False,0.154,GO:0005829,GO:0070062,GO:0005739
1995,954,0.808,cross-mo,0.629,unresolved,0,ALPL,0.043,other,0.0,H>Y,0.447,0.0,0.0,0.0,0.043,1.77,0.59,33.1,False,0.317,GO:0005634,GO:0005654,GO:0005737
1997,407,1.0,cross-mo,0.573,pathogenic-general,1,CTCF,0.1,RAS_MAPK,0.05,V>G,0.15,0.0,0.1,0.2,0.1,4.75,0.42,52.5,False,0.338,GO:0005737,GO:0005634,GO:0005886
2001,459,-1.0,cross-mo,0.597,benign-general,1,ANXA11,0.091,transporter,0.136,A>T,1.0,0.0,0.0,0.0,0.0,2.5,0.0,27.5,False,0.217,GO:0005886,GO:0005829,GO:0005634
2004,17,0.444,cross-mo,0.58,unresolved,0,TP53,0.1,ion_channel,0.05,P>R,0.4,0.0,0.0,0.05,0.05,2.44,0.72,52.3,False,0.354,GO:0005634,GO:0005737,GO:0005654
2005,313,0.222,cross-mo,0.602,unresolved,0,VSTM2A,0.05,other,0.0,G>S,0.4,0.5,0.0,0.1,0.05,2.29,0.25,43.3,False,0.226,GO:0005654,GO:0005634,GO:0005737
2007,87,0.4,cross-mo,0.579,unresolved,0,GABRB1,0.05,other,0.0,R>H,0.95,0.0,0.0,0.0,0.0,1.25,0.5,19.7,False,0.196,GO:0005886,GO:0005829,GO:0005634
2009,208,0.167,cross-mo,0.581,unresolved,0,ZNF345,0.05,other,0.0,I>T,0.2,0.1,0.0,0.1,0.0,2.96,0.4,45.0,False,0.261,GO:0005886,GO:0005634,GO:0000978
2010,37,-1.0,cross-mo,0.454,unresolved,0,ACADVL,0.1,transporter,0.05,H>Y,0.45,0.0,0.0,0.05,0.0,1.64,0.8,49.7,False,0.327,GO:0005654,GO:0005737,GO:0005829
2011,13,0.667,cross-mo,0.544,unresolved,0,OTC,0.05,RAS_MAPK,0.05,Y>H,0.5,0.05,0.0,0.15,0.05,2.26,0.35,53.7,False,0.269,GO:0005886,GO:0004930,GO:0004984
2012,1196,0.026,cross-mo,0.585,benign-general,1,ZKSCAN2,0.051,other,0.0,V>M,1.0,0.0,0.0,0.0,0.0,2.3,0.0,22.9,False,0.235,GO:0005634,GO:0008270,GO:0005654
2013,367,0.909,cross-mo,0.625,unresolved,0,ETFDH,0.15,other,0.0,M>I,0.35,0.0,0.0,0.0,0.0,2.37,0.0,16.2,False,0.321,GO:0005829,GO:0005524,GO:0005634
2014,201,0.167,cross-mo,0.584,unresolved,0,GLCCI1,0.05,other,0.0,L>F,0.15,0.05,0.0,0.0,0.0,2.78,0.45,35.9,False,0.216,GO:0005737,GO:0005886,GO:0005634
2015,2389,0.472,cross-mo,0.619,unresolved,0,PAH,0.025,transporter,0.05,L>F,0.992,0.0,0.0,0.0,0.0,1.02,0.0,23.9,False,0.2,GO:0005829,GO:0005737,GO:0005634
2016,1652,0.407,cross-mo,0.557,mechanism:hydrophobicity-switch,2,EBP,0.024,transporter,0.012,R>C,0.329,0.0,0.0,0.341,0.024,5.91,0.97,58.3,False,0.352,GO:0005634,GO:0005829,GO:0005737
2017,102,0.333,cross-mo,0.573,unresolved,0,FOXC2,0.05,RAS_MAPK,0.05,K>Q,0.9,0.0,0.0,0.0,0.0,0.45,0.95,24.1,False,0.467,GO:0005634,GO:0005654,GO:0000981
2018,448,1.0,cross-mo,0.413,pathogenic-general,1,HBA1,0.136,hemoglobin,0.136,T>A,0.318,0.0,0.0,0.0,0.045,2.66,0.18,41.4,False,0.671,GO:0005829,GO:0016020,GO:0005886
2020,24,0.5,cross-mo,0.563,unresolved,0,EFEMP2,0.1,ion_channel,0.05,R>H,0.8,0.0,0.0,0.0,0.0,1.48,0.5,25.0,False,0.142,GO:0005576,GO:0070062,GO:0005615
2021,1029,0.875,cross-mo,0.555,unresolved,0,RHO,0.078,ion_channel,0.059,R>C,0.098,0.02,0.0,0.118,0.02,3.45,0.69,48.8,False,0.253,GO:0005886,GO:0005737,GO:0005654
2026,1917,0.262,cross-mo,0.583,unresolved,0,RRN3,0.021,ion_channel,0.011,D>N,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,False,0.263,GO:0005634,GO:0005654,GO:0005737
2027,15,0.8,cross-mo,0.571,unresolved,0,SERPING1,0.1,RAS_MAPK,0.1,F>L,0.7,0.0,0.0,0.05,0.05,1.26,0.08,33.9,False,0.531,GO:0005886,GO:0005737,GO:0005829
2030,445,0.909,cross-mo,0.569,unresolved,0,NDUFS1,0.045,transporter,0.045,C>R,0.136,0.0,0.318,0.045,0.045,4.02,0.39,51.9,False,0.134,GO:0005886,GO:0005654,GO:0005737
2031,12,0.833,cross-mo,0.599,unresolved,0,NR0B1,0.05,ion_channel,0.05,L>V,0.25,0.1,0.0,0.05,0.15,1.81,0.05,34.0,False,0.371,GO:0005829,GO:0005886,GO:0016020
2032,12,0.7,cross-mo,0.568,unresolved,0,NR0B1,0.05,ion_channel,0.05,L>F,0.45,0.0,0.0,0.05,0.1,1.53,0.05,35.3,False,0.146,GO:0005886,GO:0005789,GO:0005829
2033,440,0.222,cross-mo,0.605,unresolved,0,KEAP1,0.045,ion_channel,0.091,P>S,0.455,0.0,0.0,0.0,0.0,1.88,0.0,21.1,False,0.141,GO:0005886,GO:0005829,GO:0005737
2040,231,0.125,cross-mo,0.585,unresolved,0,SRMS,0.05,other,0.0,R>W,1.0,0.0,0.0,0.0,0.0,3.6,1.0,54.4,False,0.007,GO:0005737,GO:0005576,GO:0005615
2045,1680,0.775,cross-mo,0.569,mechanism:glycine-loss,2,CLDN9,0.024,transporter,0.119,G>S,0.976,0.988,0.0,0.012,0.0,0.43,0.0,29.1,False,0.138,GO:0005886,GO:0016020,GO:0005829
2046,1844,0.03,cross-mo,0.559,benign-general,1,FOXG1,0.065,ion_channel,0.022,P>S,0.5,0.0,0.0,0.0,0.0,1.81,0.17,32.0,False,0.601,GO:0005634,GO:0005654,GO:0005829
2047,341,0.0,cross-mo,0.596,mechanism:glycine-loss,2,IVL,0.1,other,0.0,G>R,0.9,1.0,0.0,0.0,0.0,3.87,0.95,114.3,False,0.227,GO:0005634,GO:0005829,GO:0008270
